level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	49	0	0	0	642.400000	70.061230	31.816400	5.372400	-1	###LINE###
5	1	49	0	0	0	642.40	70.06	14.90	5.37	100	HƯỚNG
5	1	49	0	0	1	658.35	70.06	8.40	5.37	100	DẪN
5	1	49	0	0	2	667.70	70.06	6.52	5.37	100	MÃ
4	1	49	0	1	0	645.700000	76.111230	25.902800	5.372400	-1	###LINE###
5	1	49	0	1	0	645.70	76.11	8.17	5.37	100	HÓA
5	1	49	0	1	1	655.05	76.11	5.17	5.37	100	BỔ
5	1	49	0	1	2	661.10	76.11	10.50	5.37	100	SUNG
4	1	49	0	2	0	645.150000	82.161230	28.080800	5.372400	-1	###LINE###
5	1	49	0	2	0	645.15	82.16	7.62	5.37	100	CỦA
5	1	49	0	2	1	653.95	82.16	9.57	5.37	100	WHO
5	1	49	0	2	2	664.40	82.16	8.83	5.37	100	2019
3	1	50	0	0	0	613.250000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	50	0	0	0	613.250000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	50	0	0	0	613.25	106.91	4.43	5.37	100	22
3	1	51	0	0	0	656.700000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	51	0	0	0	656.700000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	51	0	0	0	656.70	106.91	4.43	5.37	100	23
3	1	52	0	0	0	51.700000	114.611230	57.860000	23.522400	-1	###FLOW###
4	1	52	0	0	0	51.700000	114.611230	57.860000	5.372400	-1	###LINE###
5	1	52	0	0	0	51.70	114.61	14.88	5.37	100	A00-B99
5	1	52	0	0	1	70.40	114.61	13.31	5.37	100	Certain
5	1	52	0	0	2	84.70	114.61	17.12	5.37	100	infectious
5	1	52	0	0	3	102.85	114.61	6.71	5.37	100	and
4	1	52	0	1	0	70.400000	120.661230	31.420400	5.372400	-1	###LINE###
5	1	52	0	1	0	70.40	120.66	15.61	5.37	100	parasitic
5	1	52	0	1	1	86.90	120.66	14.92	5.37	100	diseases
4	1	52	0	2	0	51.700000	126.711230	57.860000	5.372400	-1	###LINE###
5	1	52	0	2	0	51.70	126.71	14.88	5.37	100	A00-B99
5	1	52	0	2	1	70.40	126.71	13.31	5.37	100	Certain
5	1	52	0	2	2	84.70	126.71	17.12	5.37	100	infectious
5	1	52	0	2	3	102.85	126.71	6.71	5.37	100	and
4	1	52	0	3	0	70.400000	132.761230	31.420400	5.372400	-1	###LINE###
5	1	52	0	3	0	70.40	132.76	15.61	5.37	100	parasitic
5	1	52	0	3	1	86.90	132.76	14.92	5.37	100	diseases
3	1	53	0	0	0	115.500000	114.611230	57.780800	23.522400	-1	###FLOW###
4	1	53	0	0	0	115.500000	114.611230	57.780800	5.372400	-1	###LINE###
5	1	53	0	0	0	115.50	114.61	8.91	5.37	100	Bệnh
5	1	53	0	0	1	125.40	114.61	12.21	5.37	100	truyền
5	1	53	0	0	2	138.60	114.61	11.22	5.37	100	nhiễm
5	1	53	0	0	3	150.70	114.61	4.31	5.37	100	và
5	1	53	0	0	4	157.85	114.61	15.43	5.37	100	A00-A09
4	1	53	0	1	0	115.500000	120.661230	23.522400	5.372400	-1	###LINE###
5	1	53	0	1	0	115.50	120.66	4.19	5.37	100	ký
5	1	53	0	1	1	121.00	120.66	7.26	5.37	100	sinh
5	1	53	0	1	2	129.25	120.66	9.77	5.37	100	trùng
4	1	53	0	2	0	115.500000	126.711230	57.780800	5.372400	-1	###LINE###
5	1	53	0	2	0	115.50	126.71	8.91	5.37	100	Bệnh
5	1	53	0	2	1	125.40	126.71	12.21	5.37	100	truyền
5	1	53	0	2	2	138.60	126.71	11.22	5.37	100	nhiễm
5	1	53	0	2	3	150.70	126.71	4.31	5.37	100	và
5	1	53	0	2	4	157.85	126.71	15.43	5.37	100	A00-A09
4	1	53	0	3	0	115.500000	132.761230	23.522400	5.372400	-1	###LINE###
5	1	53	0	3	0	115.50	132.76	4.19	5.37	100	ký
5	1	53	0	3	1	121.00	132.76	7.26	5.37	100	sinh
5	1	53	0	3	2	129.25	132.76	9.77	5.37	100	trùng
3	1	54	0	0	0	176.550000	114.611230	35.270400	23.522400	-1	###FLOW###
4	1	54	0	0	0	176.550000	114.611230	35.270400	5.372400	-1	###LINE###
5	1	54	0	0	0	176.55	114.61	16.96	5.37	100	Intestinal
5	1	54	0	0	1	194.70	114.61	17.12	5.37	100	infectious
4	1	54	0	1	0	176.550000	120.661230	14.920400	5.372400	-1	###LINE###
5	1	54	0	1	0	176.55	120.66	14.92	5.37	100	diseases
4	1	54	0	2	0	176.550000	126.711230	35.270400	5.372400	-1	###LINE###
5	1	54	0	2	0	176.55	126.71	16.96	5.37	100	Intestinal
5	1	54	0	2	1	194.70	126.71	17.12	5.37	100	infectious
4	1	54	0	3	0	176.550000	132.761230	14.920400	5.372400	-1	###LINE###
5	1	54	0	3	0	176.55	132.76	14.92	5.37	100	diseases
3	1	55	0	0	0	217.250000	114.611230	34.315600	23.522400	-1	###FLOW###
4	1	55	0	0	0	217.250000	114.611230	34.315600	5.372400	-1	###LINE###
5	1	55	0	0	0	217.25	114.61	8.91	5.37	100	Bệnh
5	1	55	0	0	1	227.15	114.61	12.21	5.37	100	truyền
5	1	55	0	0	2	240.35	114.61	11.22	5.37	100	nhiễm
4	1	55	0	1	0	217.250000	120.661230	20.724000	5.372400	-1	###LINE###
5	1	55	0	1	0	217.25	120.66	11.97	5.37	100	đường
5	1	55	0	1	1	230.45	120.66	7.52	5.37	100	ruột
4	1	55	0	2	0	217.250000	126.711230	34.315600	5.372400	-1	###LINE###
5	1	55	0	2	0	217.25	126.71	8.91	5.37	100	Bệnh
5	1	55	0	2	1	227.15	126.71	12.21	5.37	100	truyền
5	1	55	0	2	2	240.35	126.71	11.22	5.37	100	nhiễm
4	1	55	0	3	0	217.250000	132.761230	20.724000	5.372400	-1	###LINE###
5	1	55	0	3	0	217.25	132.76	11.97	5.37	100	đường
5	1	55	0	3	1	230.45	132.76	7.52	5.37	100	ruột
3	1	56	0	0	0	388.850000	114.611230	7.180800	5.372400	-1	###FLOW###
4	1	56	0	0	0	388.850000	114.611230	7.180800	5.372400	-1	###LINE###
5	1	56	0	0	0	388.85	114.61	7.18	5.37	100	A00
